"We cannot apply the gift card code.","We cannot apply the gift card code."
"Bad gift card code","Bad gift card code"
"Gift card has been added to cart","Gift card has been added to cart"
"Gift card is already applied for cart.","Gift card is already applied for cart."
"Applied gift card codes for cart","Applied gift card codes for cart"
"Remove","Remove"
"Gift card has been removed from cart","Gift card has been removed from cart"
"Ops... Something goes wrong","Ops... Something goes wrong"
"Gift Card Discount","Gift Card Discount"
"Enter gift card code","Enter gift card code"
"Apply Gift Card","Apply Gift Card"
"The gift card was successfully removed.","The gift card was successfully removed."
"Refunded to Gift Card","Refunded to Gift Card"
"Send Printed Gift Card by Post","Send Printed Gift Card by Post"
"Send to Friend","Send to Friend"
"Sender Name","Sender Name"
"Recipient Name","Recipient Name"
"Message to Friend","Message to Friend"
"Gift Card Value","Gift Card Value"
"Gift Card Code #","Gift Card Code #"

"Thank you again for order! Your gift card information is bellow and pdf for print is in attachments!","Thank you again for order! Your gift card information is bellow and pdf for print is in attachments!"
"Gift Card Code:","Gift Card Code:"
"Gift Card Code","Gift Card Code"
"Gift Card Codes","Gift Card Codes"
"Status:","Status:"
"active","Active"
"waiting_for_payment","Waiting for Payment"
"inactive","Inactive"
"new","New"
"available","Available"
"Gift Card Balance:","Gift Card Balance:"
"Valid to:","Valid to:"
"Note: The gift cards also will be send via post!","Note: The gift cards also will be send via post!"
"Hello %name,","Hello %name,"
"Your friend %senderName sent the gift card for you!!! Your gift card information is bellow and pdf for print is in attachments!","Your friend %senderName sent the gift card for you!!! Your gift card information is bellow and pdf for print is in attachments!"
"You can use it in: %stores","You can use it in: %stores"
"The gift card can be used in our stores:","The gift card can be used in our stores:"
"The gift card can be used in our store:","The gift card can be used in our store:"
"A status of %1 record(s) have been changed.","A status of %1 record(s) have been changed."

"Column: code","Gift Card Code"
"Column: gift_card_set_id","Gift Card Set Id"
"Column: currency","Currency"
"Column: balance","Balance"
"Column: value","Value"
"Column: expire_date","Expire Date"
"Column: life_time","Life Time"

"Gift card is expired.","Gift card is expired."
"Not enough balance in gift card.","Not enough balance in gift card."